Date,Adj Close,Open,High,Low
2020/4/30,"8,889.55","8,911.01","8,926.11","8,825.83"
2020/4/29,"8,914.71","8,802.70","8,957.26","8,765.01"
2020/4/28,"8,607.73","8,825.68","8,830.57","8,600.70"
2020/4/27,"8,730.16","8,717.98","8,754.57","8,697.37"
2020/4/24,"8,634.52","8,530.08","8,642.93","8,464.42"
2020/4/23,"8,494.75","8,528.84","8,635.23","8,475.20"
2020/4/22,"8,495.38","8,434.55","8,537.31","8,404.54"
2020/4/21,"8,263.23","8,460.69","8,480.29","8,215.69"
2020/4/20,"8,560.73","8,553.38","8,684.91","8,553.38"
2020/4/17,"8,650.14","8,667.48","8,670.30","8,531.69"
2020/4/16,"8,532.36","8,479.11","8,560.16","8,393.27"
2020/4/15,"8,393.18","8,355.96","8,464.66","8,308.79"
2020/4/14,"8,515.74","8,353.21","8,531.11","8,338.08"
2020/4/13,"8,192.42","8,127.69","8,200.44","8,035.95"
2020/4/9,"8,153.57","8,169.01","8,227.91","8,072.32"
2020/4/8,"8,090.90","7,975.72","8,114.43","7,901.94"
2020/4/7,"7,887.26","8,129.99","8,146.43","7,881.22"
2020/4/6,"7,913.24","7,660.17","7,938.33","7,617.79"
2020/4/3,"7,373.08","7,477.27","7,518.72","7,288.11"
2020/4/2,"7,487.31","7,317.45","7,501.70","7,307.95"
2020/4/1,"7,360.58","7,459.50","7,566.37","7,301.98"
2020/3/31,"7,700.10","7,740.06","7,880.31","7,642.86"
2020/3/30,"7,774.15","7,583.46","7,784.35","7,539.97"
2020/3/27,"7,502.38","7,554.25","7,716.24","7,491.14"
2020/3/26,"7,797.54","7,462.21","7,809.82","7,462.21"
2020/3/25,"7,384.30","7,421.36","7,671.21","7,276.40"
2020/3/24,"7,417.86","7,196.15","7,418.37","7,169.86"
2020/3/23,"6,860.67","6,847.28","6,984.94","6,631.42"
2020/3/20,"6,879.52","7,248.07","7,354.44","6,854.67"
2020/3/19,"7,150.58","6,996.45","7,341.38","6,858.38"
2020/3/18,"6,989.84","6,902.32","7,182.83","6,686.36"
2020/3/17,"7,334.78","6,904.59","7,406.23","6,828.91"
2020/3/16,"6,904.59","7,392.73","7,422.20","6,882.86"
2020/3/13,"7,874.88","7,610.39","7,875.93","7,219.09"
2020/3/12,"7,201.80","7,398.58","7,712.33","7,194.67"
2020/3/11,"7,952.05","8,136.25","8,181.36","7,850.94"
2020/3/10,"8,344.25","8,219.76","8,347.40","7,930.43"
2020/3/9,"7,950.68","7,957.93","8,243.31","7,943.16"
2020/3/6,"8,575.62","8,469.01","8,612.36","8,375.13"
2020/3/5,"8,738.59","8,790.09","8,921.08","8,677.39"
2020/3/4,"9,018.09","8,834.10","9,019.96","8,757.66"
2020/3/3,"8,684.09","8,965.10","9,070.32","8,602.89"
2020/3/2,"8,952.17","8,667.14","8,952.81","8,543.35"
2020/2/28,"8,567.37","8,269.74","8,591.82","8,264.16"
2020/2/27,"8,566.48","8,744.03","8,904.11","8,562.05"
2020/2/26,"8,980.77","9,011.55","9,148.32","8,927.80"
2020/2/25,"8,965.61","9,301.20","9,315.26","8,940.49"
2020/2/24,"9,221.28","9,188.44","9,322.88","9,166.01"
2020/2/21,"9,576.59","9,708.01","9,715.95","9,542.33"
2020/2/20,"9,750.97","9,799.20","9,820.86","9,636.94"
2020/2/19,"9,817.18","9,782.81","9,838.37","9,777.10"
2020/2/18,"9,732.74","9,679.04","9,747.68","9,675.80"
2020/2/14,"9,731.18","9,728.90","9,746.36","9,693.05"
2020/2/13,"9,711.97","9,657.04","9,748.32","9,650.02"
2020/2/12,"9,725.96","9,688.60","9,728.77","9,666.68"
2020/2/11,"9,638.94","9,680.89","9,714.74","9,617.21"
2020/2/10,"9,628.39","9,493.63","9,628.66","9,493.63"
2020/2/7,"9,520.51","9,526.64","9,570.09","9,496.53"
2020/2/6,"9,572.15","9,540.98","9,575.66","9,505.68"
2020/2/5,"9,508.68","9,574.10","9,574.93","9,454.93"
2020/2/4,"9,467.97","9,398.39","9,485.38","9,374.05"
2020/2/3,"9,273.40","9,190.72","9,299.85","9,188.55"
2020/1/31,"9,150.94","9,324.33","9,324.80","9,123.22"
2020/1/30,"9,298.93","9,211.15","9,303.00","9,185.18"
2020/1/29,"9,275.16","9,318.26","9,329.11","9,249.04"
2020/1/28,"9,269.68","9,201.82","9,288.87","9,182.33"
2020/1/27,"9,139.31","9,092.46","9,185.45","9,088.04"
2020/1/24,"9,314.91","9,446.20","9,451.43","9,273.23"
2020/1/23,"9,402.48","9,377.72","9,409.20","9,334.13"
2020/1/22,"9,383.77","9,413.61","9,439.29","9,375.13"
2020/1/21,"9,370.81","9,361.07","9,397.58","9,350.20"
2020/1/17,"9,388.94","9,392.37","9,393.48","9,346.81"
2020/1/16,"9,357.13","9,313.44","9,357.92","9,301.32"
2020/1/15,"9,258.69","9,253.76","9,298.82","9,231.14"
2020/1/14,"9,251.33","9,270.61","9,298.33","9,226.49"
2020/1/13,"9,273.93","9,213.72","9,274.49","9,193.06"
